timestamp,total_equity,cash,unrealized_pnl,active_positions
2026-08-22 20:00:09,200.0,200.0,0.0,0
2026-08-22 21:00:10,200.0,180.0,0.0,1
2026-08-22 22:00:11,199.604,0.0,-0.396,10
2026-08-22 23:00:10,201.3492,0.0,1.3492,10
2026-08-23 00:00:10,200.9961,0.0,0.9961,10
2026-08-23 01:00:12,202.96,0.0,2.96,10
2026-08-23 02:00:09,201.0267,0.0,1.0267,10
